,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
0,2005 hyundai elantra,1200,2005.0,https://charlottesville.craigslist.org/cto/d/afton-2005-hyundai-elantra/7785683810.html,missing,20.0,7.090076835776092,2.995732273553991,title,2005,fair, 4 cylinders,fwd,gas,232450,silver,manual,sedan,‘05 Elantra runs good but did not pass inspection due to front breaks and wiper blades. Rear driver side door does not open and is majorly dented - see picture. I have receipts for recent work. it’s a fun car to drive just not much of a looker! Price negotiable but higher if I do repairs. Call or text    
1,2007 f250 king ranch,17500,2007.0,https://charlottesville.craigslist.org/cto/d/waynesboro-2007-f250-king-ranch/7785680751.html,missing,18.0,9.769956159911606,2.8903717578961645,title,2007,good, 8 cylinders,4wd,diesel,148086,missing,automatic,pickup,"6.0 diesel, bulletproofed, just replaced transmission, 6” lift on 37x12.50, it’s tuned with a basic street tune, got a new stereo with a 12” sub in the back seat and a 1000 watt amp. I also have paperwork for the work that’s been done"
2,1997 dodge 2500 4x4 cummins,9500,1997.0,https://charlottesville.craigslist.org/cto/d/lovingston-1997-dodge-x4-cummins/7785609263.html,dodge,28.0,9.159047077588632,3.332204510175204,title,1997,fair, 6 cylinders,4wd,diesel,179000,red,automatic,truck,"1997 Dodge 4x4 Cummins. Adult owned and driven. OEM Transmission Replaced 8 thousand miles ago, with extra cooler. Cab and chassis mounts replaced and Killer Dead Pin Kit installed. All power options work and truck is in decent shape for being 27 years old. Fires up quick and runs well. If you are looking for a show truck or a mint model this isn’t for you, however if you want a low miles 12V Cummins with several of the major issues fixed this might be exactly what you are looking for. Text is preferred, thanks for looking."
3,1999 honda civic 4 cyl manual transmission,1000,1999.0,https://charlottesville.craigslist.org/cto/d/charlottesville-1999-honda-civic-cyl/7785580889.html,honda,26.0,6.907755278982137,3.258096538021482,title,1999,salvage, 4 cylinders,rwd,gas,195338,silver,manual,sedan,"Vehicle does start and run, it has a manual transmission and the 4cyl engine. with 195338 miles on it. Need two new front tires, new hood, suspension needs to be replaced, power steering pump starting to go with a white present. Needs an oil change."
4,"1998 gmc sierra 1500 sl truck auto rwd <103,000 miles",6250,1998.0,https://charlottesville.craigslist.org/cto/d/louisa-1998-gmc-sierra-1500-sl-truck/7785561584.html,gmc,27.0,8.740336742730447,3.295836866004329,title,1998,good, 8 cylinders,rwd,gas,102483,missing,automatic,truck,"1998 GMC Sierra 1500 SL Truck, Auto 2WD/RWD, Va State inspection good through 4/25, beige, automatic, 103,000 miles, strong V8, 6.5 foot bed, cloth interior in great shape, rear bench seat, dash cover, good tires, bed liner, 2"" box tow hitch, nice locking ARE color matching clamshell bed cover, large straight exhaust pipes, chrome bumpers in good shape"
5,2006 honda pilot exl fwd,4700,2006.0,https://charlottesville.craigslist.org/cto/d/henrico-2006-honda-pilot-exl-fwd/7785499961.html,honda,19.0,8.45531778769815,2.9444389791664403,title,2006,excellent, 6 cylinders,fwd,gas,251000,missing,automatic,SUV,"Still available. Must call! 8O4-22O-OO22251K miles. FWD. Runs great. No issue.The timing belt was changed at 225K. It has leather seats, heated seats, and power.Moonroof, Tires are in great condition. 3rd row seat, 8 passenger SUV.5FNYF28526B034237"
6,2001 jeep grand cherokee,2800,2001.0,https://charlottesville.craigslist.org/cto/d/gordonsville-2001-jeep-grand-cherokee/7785490667.html,jeep,24.0,7.937374696163295,3.1780538303479458,title,2001,excellent,missing,missing,gas,156500,missing,automatic,SUV,"2001 Jeep Grand Cherokee. 4.0 6 cylinder automatic. 156,500 miles.Rebuilt motor, new pistons, piston rings, rod bearings, timing gears, oil pump, head gasket, valve cover gasket, fuel pump, new headlights ,new brakes and brake calipers .4 new tires.Just passed state inspection. AC doesn't work but everything else is 100%.Cash, cards, Venmo accepted.  $2800 firm.  Please Don't bother with low ball ofters.Gordonsville, VA"
7,2015 gmc terrain - good condition,3500,2015.0,https://charlottesville.craigslist.org/cto/d/keswick-2015-gmc-terrain-good-condition/7785267240.html,gmc,10.0,8.160518247477505,2.302585092994046,title,2015,good, 4 cylinders,fwd,gas,113520,white,automatic,SUV,"2015 GMC Terrain SLE 4cy. 113,500 miles.  $3500.00 OBO.  This vehicle is in great condition.  Needs engine work.  Is drivable but runs rough.  We are the second owners.  Never been in an accident.  Sold as is.  Please call or text for more information."
8,buick,4500,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7785078444.html,buick,,8.411832675758411,,title,2011,good, 4 cylinders,fwd,gas,164000,brown,automatic,SUV,"2011 model Buick with 160,000 miles runs good call or text  show contact info"
9,2014 ford escape,1500,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-ford-escape/7785060212.html,ford,11.0,7.313220387090301,2.3978952727983707,title,2014,salvage, 4 cylinders,fwd,gas,163000,grey,automatic,SUV,"2014 Ford Escape SE, 1.6L. Needs a new transmission (internal pump not working, per diagnosis). 163,000 miles. 1,500 obo"
10,jeep wrangler,12500,,https://charlottesville.craigslist.org/cto/d/waynesboro-jeep-wrangler/7785014681.html,jeep,,9.433483923290392,,title,2007,good, 6 cylinders,4wd,gas,174000,black,manual,SUV,"2007 jeep wrangler 4 door unlimited x. Has 174,000 miles with brand new jasper jeep 3.8L engine installed at 155,000 miles. Have all the paperwork to go with it .Jeep runs great, has a few scratches but in great shape overall. Check engine light on for 02 sensor. Has new front and rear brakes, brand new tires, Has Apple car play with back up camera. 6 speed manual.  Has Rebuilt title"
11,2007 toyota camry v6 xle,4700,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-toyota-camry-v6-xle/7785001447.html,toyota,18.0,8.45531778769815,2.8903717578961645,title,2007,good, 6 cylinders,fwd,gas,248300,missing,automatic,sedan,"2007 V6 Camry. Strong engine, just replaced  ignition coil, spark plugs replaced,engine air filter, upper fuel injection gasket replaced. There some wear on the inside/outside but it rides great. AC and heat work great. It will go over 400k if you maintain this vehicle.$4700 or best offer    "
12,1994 chevy s10,4000,1994.0,https://charlottesville.craigslist.org/cto/d/palmyra-1994-chevy-s10/7784965289.html,chevy,31.0,8.294049640102028,3.4339872044851463,title,1994,good, 4 cylinders,rwd,gas,139000,silver,manual,pickup,"For Sale!!!1994 s10.Lowered, rides like a lowered truck!Fun to drive. 2.2 liter, 5 speed. Weekend truck for me, I have other projects and she needs a new owner. NO A/C!! Heat works!! Has the stock stereo and a couple door speakers. Crack across the windshield at the bottom, who cares, I was going to run tint up from the bottom, just hadn’t got around to it. Very minimal rust at all!4 G Cash, I’m firm on that."
13,toyota 4runner,3500,,https://charlottesville.craigslist.org/cto/d/quinque-toyota-4runner/7784875544.html,toyota,,8.160518247477505,,title,1995,good, 6 cylinders,4wd,gas,166941,black,manual,SUV,"I have a 95 Toyota 4 runner it has 166,941 it Runs good the only reason Im selling it because it leaking antifreeze under the intake i think a hose busted I know it didn’t over heat when it busted and I don’t have time to mess with it I have aluminum rim with tires that go with it the tires are basically new I didn’t run them but maybe twice and on the Toyota it has new tires on it and it have some body rust it would be great vehicle if you get the hose fix or a hunting vehicle it has a new radiator and new timing belt and water pump in it that was replaced at 139,000 miles and cash only and in person only"
14,1962 m38-a1 military jeep,1500,1962.0,https://charlottesville.craigslist.org/cto/d/scottsville-1962-m38-a1-military-jeep/7784860520.html,jeep,63.0,7.313220387090301,4.143134726391533,title,1962,missing,missing,4wd,gas,25000,blue,manual,missing,"needs restoration, 4 new wheels and tires. Asking $1500, phone  show contact info"
15,2010 avalanche,5500,2010.0,https://charlottesville.craigslist.org/cto/d/mineral-2010-avalanche/7784792017.html,missing,15.0,8.612503371220562,2.70805020110221,title,2010,missing,missing,missing,gas,226000,missing,automatic,missing,Runs good. Ltz model with 226k miles. Has some rust. New inspection. $5500 or best offer
16,dodge m37 powerwagon,7000,,https://charlottesville.craigslist.org/cto/d/piney-river-dodge-m37-powerwagon/7784758445.html,dodge,,8.85366542803745,,title,1954,fair, 6 cylinders,4wd,gas,45000,red,manual,offroad,"(Sale fell through reposted and lowered cost) Mid 50’s Air Force Dodge M37 3/4 Ton 4 wheel drive POWERWAGON.  Was outfit for fire department pumper truck. Has gear driven  PTO for winch.  Inline 6cyl L head original motor. Motor runs great but tank fuel line clogged  have to bypass using fuel can. Tank does not have leak, just clogged line. Brakes need to be overhauled master cylinder to each wheel. Body and chassis are very clean with little to no rust. Can deliver for fee."
17,"2018 toyota tacoma truck sr5 4wd double cab, 6 cyl, auto, 30,000 miles",30750,2018.0,https://charlottesville.craigslist.org/cto/d/louisa-2018-toyota-tacoma-truck-sr5-4wd/7784680777.html,toyota,7.0,10.333645273234664,1.9459101490553132,title,2018,excellent, 6 cylinders,4wd,gas,30000,white,automatic,truck,"2018 Toyota Tacoma Truck SR5 4WD double cab, 6 cyl, automatic, only 30,000 miles, white, power rear window, short-bed, bed liner with adjustable tie down system, running boards, tow package, Husky mats & tool box, alarm system with remote start, excellent condition. NO DEALERSHIPS."
18,2003 toyota highlander,3300,2003.0,https://charlottesville.craigslist.org/cto/d/lovingston-2003-toyota-highlander/7784607564.html,toyota,22.0,8.101677747454572,3.091042453358316,title,2003,fair, 6 cylinders,4wd,gas,289600,missing,automatic,SUV,"Best vehicle I ever owned! Runs fine. Miles are mostly highway and country roads. One primary driver since new. Clean interior, never smoked in. Gold color exterior. Towing package."
19,2011 chrysler town and country,2500,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-chrysler-town-and/7784233445.html,missing,14.0,7.824046010856292,2.6390573296152584,title,2011,fair, 6 cylinders,fwd,gas,234000,white,automatic,minivan,2011 Chrysler town and country234k milesOverall in fair conditionEngine and transmission run wellLeather seats throughout. Stow and Go Seats2 TV entertainment system with remotes. Needs 2 tires and front end work sway bar links and alignment per mechanic. Selling AS ISWill need some TLCFirm at $2500 so please dont offer anything lower. Priced accordingly to the work that it needs.
20,2006 mitsubishi endeavor awd ls,3500,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-mitsubishi/7784157813.html,mitsubishi,19.0,8.160518247477505,2.9444389791664403,title,2006,like new, 6 cylinders,missing,gas,206410,missing,automatic,missing,"2006 Mitsubishi Endeavor AWD LS* Silver* 6 Cylinder* Gray cloth seats* Stereo CD player* Hot air cold A/C* Power doors locks and windows* Two keys* Roof rack* Semi alloy rims* New tires* Good on gas* Factory tent windows* NO Pets, No Smokers* CASH ONLY no tradesAny questions give me a call or textshow contact info$5,000"
21,2019 hyundai kona excellent condition,15000,2019.0,https://charlottesville.craigslist.org/cto/d/barboursville-2019-hyundai-kona/7783977835.html,missing,6.0,9.615805480084347,1.791759469228055,title,2019,excellent, 4 cylinders,4wd,gas,58000,white,automatic,SUV,"Vehicle is in like new condition,AWD, 6 speed automatic, brand new all 4 tires, one owner,  no smoking,  runs and looks great ,  new inspection , new oil change, still 4 years or 42000 miles Hyundai warranty  !Text or cal  show contact info"
22,2011 bmw 328i xdrive sedan 4d,6000,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-bmw-328i-xdrive/7783905386.html,bmw,14.0,8.699514748210191,2.6390573296152584,title,2011,good, 6 cylinders,4wd,gas,121982,green,automatic,sedan,"Reliable in rainy or snowy conditions. 3.0 liter 6 cylinder. New OEM front windshield. Recently installed new Falcon all season tires. New battery less than 2000 miles agoIt needs new brakes and brake pads, as well as a new ABS front axle sensor ring ($30 part). Maintenance lights are being triggered because of these parts needing to be replaced. The inspection is past due, this hasn’t been my primary vehicle. The drivers door and seat have minor damage and there are some light scratches here and there (no holes on any seats). No pets have ever been in the car. Photos reflect condition of the vehicle. Bluetooth, sound system and navigation work like new.The sunroof works well, it’s never leaked or gotten stuck. Engine runs beautifully and has never needed any work done.This car has been a treat to own, but unfortunately it’s just never suited my lifestyle. Feel free to message me with any questions or to schedule a time to view and drive.    "
23,2008 subaru outback,5800,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-subaru-outback/7783889756.html,subaru,17.0,8.66561319653451,2.833213344056216,title,2008,good,missing,missing,gas,180814,missing,automatic,missing,"Selling my 2008 Subaru Outback. Had the head gaskets replaced in ‘21, and put new tires on it last year. It’s been a great reliable car. Heated seats, leather interior, sunroof/moon roof and runs like a top."
24,2004 dodge durango,2000,2004.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2004-dodge-durango/7783863430.html,dodge,21.0,7.600902459542082,3.044522437723423,title,2004,good, 6 cylinders,4wd,gas,251000,white,automatic,SUV,"2004 Dodge Durango, clean title, custom rims with low visibility tires, no check engine light or error codes, DVD system mounted for easy viewing, sunroof, heated seats, normal wear and tear, minor cosmetic damage, Four new tires. Asking price $2,000."
25,2012 ford focus se,3500,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-ford-focus-se/7783801610.html,ford,13.0,8.160518247477505,2.5649493574615367,title,2012,good, 4 cylinders,fwd,gas,143500,silver,manual,hatchback,"This is a good car, well maintained over the years.  I just put on new front tires for the state inspection.  5 speed manual transmission, trailer hitch, bluetooth, heated seats,   Everything is in good working order."
26,2008 ford escape xlt 4x4 3.0,1500,2008.0,https://charlottesville.craigslist.org/cto/d/earlysville-2008-ford-escape-xlt-4x4-30/7783759838.html,ford,17.0,7.313220387090301,2.833213344056216,title,2008,fair, 6 cylinders,4wd,gas,234000,white,automatic,SUV,"2008 Ford Escape XLT. Runs great, but need transmission. That's what the mechanic said anyway. Was driving it up and down road some, didn't want to go in drive unless you let off of gas pedal. Changed shift solenoid and now nothing. Lots of new parts in front and rear suspension. Brand new tires all way around. Less than 2 miles on front tires. Tired of messing with it. Sunroof and everything works inside. Has 234k on odometer. Cranks right up everytime. Clear title. Come haul it away. $1,500 obo. I have a video of walking around it and cranking it. Just can't post it because over a minute long."
27,mercedes 560sl,15000,,https://charlottesville.craigslist.org/cto/d/charlottesville-mercedes-560sl/7783648170.html,missing,,9.615805480084347,,title,1986,good, 8 cylinders,rwd,gas,75000,red,automatic,convertible,"Lovely classic, unfortunately getting too old to get in and out without embarrassing myself. Owned it for 20+ years and has been fully maintained by Pantops ServiceCenter. New soft top. Comes with hard top, rack to store it and cloth cover."
28,2013 honda fit sport hatchback,8700,2013.0,https://charlottesville.craigslist.org/cto/d/afton-2013-honda-fit-sport-hatchback/7783561831.html,honda,12.0,9.071078304642676,2.4849066497880004,title,2013,good, 4 cylinders,missing,gas,72992,missing,automatic,hatchback,2013 Honda Fit. Excellent running condition but some dings and scuffs on body. Was taken to Honda dealer for check up and engine in good shape.  VIN upon request.  Low Mileage! Great fuel efficiency! Cash only!If you're seeing this ad it is still available. Spam messages asking if it's still available will be ignored.
29,1986 ford e350 centurion,11500,1986.0,https://charlottesville.craigslist.org/cto/d/helena-1986-ford-e350-centurion/7783532418.html,ford,39.0,9.350102314351341,3.6635616461296463,title,1986,good, 8 cylinders,rwd,gas,86000,red,automatic,truck,"1986 Ford E350 CenturionNice, solid mostly rust-free frame and body.All glass good, new windshield. Electric windows and locks work fine.Clear-coat is off @ 90% of body... could be finished and re clear- coated.Ford 460 Engine runs ok, needs a tune up… transmission shifts normally.Has high/low range tranny, not working maybe electrical issue. Air Conditioning.Interior driver’s seat and rear seat/bed in good shape. Passenger seat torn.Headliner partially replaced has water stains.Cruise control does not work… may be a vacuum lineSeat covers, headliner clean or replace.Radio needs an antenna for better reception.For more info go to... www.e350centurion.com    "
30,2014 honda odyssey van black,12000,2014.0,https://charlottesville.craigslist.org/cto/d/scottsville-2014-honda-odyssey-van-black/7783477164.html,honda,11.0,9.392661928770137,2.3978952727983707,title,2014,good,missing,missing,gas,177000,black,automatic,minivan,"new back brakes, new front tires, new oil change recently, and transmission fluid change as well. van runs great, interior clean, little cosmetic damage in the front. price as is or best offer, willing to negotiate. text me if you are interested."
31,military truck w/crane,6200,,https://charlottesville.craigslist.org/cto/d/free-union-military-truck-crane/7783324663.html,missing,,8.732304571033183,,title,1966,good, 6 cylinders,missing,diesel,32000,missing,manual,truck,"M-35 2.5 ton military truck with 6,000 lb. capacity knuckle boom crane. Works great, truck is a multi-fuel diesel. 6 Wheel drive with winch."
32,volvo s40 4dr sedan 2004 power everything sun roof,2000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-volvo-s40-4dr-sedan/7783322114.html,volvo,21.0,7.600902459542082,3.044522437723423,title,2004,good, 5 cylinders,missing,gas,173977,blue,automatic,sedan,Nice car needs some love 174k.  Great first car.  Runs well.  Check engine light says - mass flow sensor…
33,"2004 honda accord for sale $5,500 or best offer",5500,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-honda-accord-for/7783266346.html,honda,21.0,8.612503371220562,3.044522437723423,title,2004,excellent,missing,missing,gas,160000,black,automatic,missing,"Everything’s works great on the car. $5,500 or best offer"
34,2003 honda pilot,1000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2003-honda-pilot/7783239203.html,honda,22.0,6.907755278982137,3.091042453358316,title,2003,fair,missing,missing,gas,231734,silver,automatic,SUV,"2003 Honda Pilot (Silver)- Purchased originally 2003 by my parents, has been passed down to siblings with myself as current owner- Selling because I now have a different car from my sibling that is newer- Miles: 231734- Overall drives very well. Has never had any major issues with engine or transmission. One major accident in 2019 with full repairs done. - Most recent service: 12/2023 (Honda Dealer Autoshop)Current Issues:- A/C does not blow cold air. Heating works. Vents work- Large dent on rear driver side bumper, otherwise scrapes and minor scratches as seen in photos- Power steering fluid leak: Most recent check-up at Honda dealer auto-shop (12/2023) noted a slow leak in the power steering fluid. They noted this might cause worsening in power steering over time requiring putting in fluid more frequently. I notice no issues with the power steering while driving. Of note, during colder temperatures steering wheel will make more noise initially but resolves within minutes.- Door locks: The passenger side front and driver side rear doors require you to manually lock them. All other doors work with remote lock.Cash offers only. Contact via the email below"
35,2002 chevy tahoe 4wd,4000,2002.0,https://charlottesville.craigslist.org/cto/d/montpelier-station-2002-chevy-tahoe-4wd/7783219894.html,chevy,23.0,8.294049640102028,3.1354942159291497,title,2002,good, 8 cylinders,4wd,gas,179000,blue,automatic,SUV,"Used Chevy TahoeBrake lines, fuel pump, headlights recently replacedTires only 1 year old and have great treadTransmission was replaced around 150kMore pics available if interested (still cleaning the interior)Has some rocker rust and paint isn’t in amazing shape, but it’s still running greatCould use a little more TLC to make it perfectWill confirm engine code and update post - no noticeable impact to performanceCash onlyNo tradesWill entertain other offersSelling because I’m getting a truck and don’t need it    "
36,2008 nissan altima (read description),1350,2008.0,https://charlottesville.craigslist.org/cto/d/ruckersville-2008-nissan-altima-read-de/7783180089.html,missing,17.0,7.2078598714324755,2.833213344056216,title,2008,good,missing,missing,gas,245600,white,automatic,sedan,"Very reliable, runs great except when I’m at a complete stop and accelerating, it seems to slip out of drive. Can be corrected by shifting it into neutral then back into drive. This car has served me well as I bought it at around 195k miles and used for mainly highway driving since then."
37,2016 tesla model s 90d,26000,2016.0,https://charlottesville.craigslist.org/cto/d/crozet-2016-tesla-model-90d/7783168254.html,tesla,9.0,10.165851817003619,2.1972245773362196,title,2016,like new,missing,missing,electric,70000,white,automatic,sedan,"2016 Tesla Model S - White70,000 miles90DImmaculate condition.Has every upgrade offered.Selling because bought a new Tesla Model X.Would love to answer any and all questions.Located in Crozet, VA."
